"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2110","Navigation from login page to registration page","LMS system","2026-07-22","passed","2026-07-22","Authorization","Authentication","",""
"","2581","Registration with correct email, username and password","LMS system","2026-07-22","passed","2026-07-22","Registration","Authentication","",""
"","3678","User login with correct email and password","LMS system","2026-07-22","passed","2026-07-22","Authorization","Authentication","",""
"","4125","Edit course","LMS system","2026-07-22","passed","2026-07-22","Courses","Courses","",""
"","3235","Create course","LMS system","2026-07-22","passed","2026-07-22","Courses","Courses","",""
"","3336","Create course","LMS system","2026-07-22","passed","2026-07-22","Courses","Courses","",""
"","1630","Navigation from login page to registration page","LMS system","2026-07-22","passed","2026-07-22","Authorization","Authentication","",""
"","1924","Registration with correct email, username and password","LMS system","2026-07-22","passed","2026-07-22","Registration","Authentication","",""
"","2137","Registration with correct email, username and password","LMS system","2026-07-22","passed","2026-07-22","Registration","Authentication","",""
"","1577","Check displaying of empty courses list","LMS system","2026-07-22","passed","2026-07-22","Courses","Courses","",""
"","2318","User login with wrong email or password","LMS system","2026-07-22","passed","2026-07-22","Authorization","Authentication","",""
"","2285","User login with wrong email or password","LMS system","2026-07-22","passed","2026-07-22","Authorization","Authentication","",""
"","1565","Check displaying of empty courses list","LMS system","2026-07-22","passed","2026-07-22","Courses","Courses","",""
"","1858","User login with wrong email or password","LMS system","2026-07-22","passed","2026-07-22","Authorization","Authentication","",""
"","1891","User login with wrong email or password","LMS system","2026-07-22","passed","2026-07-22","Authorization","Authentication","",""
"","4670","Edit course","LMS system","2026-07-22","passed","2026-07-22","Courses","Courses","",""
"","1934","User login with wrong email or password","LMS system","2026-07-22","passed","2026-07-22","Authorization","Authentication","",""
"","1835","Check displaying of dashboard page","LMS system","2026-07-22","passed","2026-07-22","Dashboard","Dashboard","",""
"","1247","Check displaying of empty courses list","LMS system","2026-07-22","passed","2026-07-22","Courses","Courses","",""
"","3331","Create course","LMS system","2026-07-22","passed","2026-07-22","Courses","Courses","",""
"","3618","User login with correct email and password","LMS system","2026-07-22","passed","2026-07-22","Authorization","Authentication","",""
"","12191","User login with correct email and password","LMS system","2026-07-22","passed","2026-07-22","Authorization","Authentication","",""
"","2088","User login with wrong email or password","LMS system","2026-07-22","passed","2026-07-22","Authorization","Authentication","",""
"","1707","Check displaying of dashboard page","LMS system","2026-07-22","passed","2026-07-22","Dashboard","Dashboard","",""
"","2346","Check displaying of dashboard page","LMS system","2026-07-22","passed","2026-07-22","Dashboard","Dashboard","",""
"","1894","User login with wrong email or password","LMS system","2026-07-22","passed","2026-07-22","Authorization","Authentication","",""
"","1435","Navigation from login page to registration page","LMS system","2026-07-22","passed","2026-07-22","Authorization","Authentication","",""
"","1629","User login with wrong email or password","LMS system","2026-07-22","passed","2026-07-22","Authorization","Authentication","",""
"","3231","User login with wrong email or password","LMS system","2026-07-22","passed","2026-07-22","Authorization","Authentication","",""
"","3770","Edit course","LMS system","2026-07-22","passed","2026-07-22","Courses","Courses","",""
